bestellnummer;lieferant_plz;lieferant_ort;lieferant_land;empfaenger;empfaenger_plz;empfaenger_ort;empfaenger_land;incoterm;incoterms_ort;termin_lieferant;termin_empfaenger;bb_name
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094443;;Tsim Sha Tsui East;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;30.06.2022 00:00;30.08.2022 00:00;PAPETERIE
0040094457;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Shanghai;18.06.2022 00:00;22.08.2022 00:00;WOHNEN
0040094457;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Shanghai;18.06.2022 00:00;22.08.2022 00:00;WOHNEN
0040094457;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Shanghai;18.06.2022 00:00;22.08.2022 00:00;WOHNEN
0040094457;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Shanghai;18.06.2022 00:00;22.08.2022 00:00;WOHNEN
0040094457;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Shanghai;18.06.2022 00:00;22.08.2022 00:00;WOHNEN
0040094457;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Shanghai;18.06.2022 00:00;22.08.2022 00:00;WOHNEN
0040094457;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Shanghai;18.06.2022 00:00;22.08.2022 00:00;WOHNEN
0040094458;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Tianjin Xingang Pt;17.06.2022 00:00;09.09.2022 00:00;WOHNEN
0040094458;;On Lok Tsuen, Fanling;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Tianjin Xingang Pt;17.06.2022 00:00;09.09.2022 00:00;WOHNEN
0040094462;;North Point;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Hong Kong;08.09.2022 00:00;13.10.2022 00:00;KUECHE
0040094462;;North Point;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Hong Kong;08.09.2022 00:00;13.10.2022 00:00;KUECHE
0040094462;;North Point;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Hong Kong;08.09.2022 00:00;13.10.2022 00:00;KUECHE
0040094462;;North Point;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Hong Kong;08.09.2022 00:00;13.10.2022 00:00;KUECHE
0040094462;;North Point;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Hong Kong;08.09.2022 00:00;13.10.2022 00:00;KUECHE
0040094463;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;10.07.2022 00:00;08.09.2022 00:00;KUECHE
0040094463;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;10.07.2022 00:00;08.09.2022 00:00;KUECHE
0040094467;;Fotan N.T.;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;16.07.2022 00:00;21.08.2022 00:00;KUECHE
0040094467;;Fotan N.T.;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;16.07.2022 00:00;21.08.2022 00:00;KUECHE
0040094468;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;17.07.2022 00:00;22.08.2022 00:00;KUECHE
0040094468;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;17.07.2022 00:00;22.08.2022 00:00;KUECHE
0040094468;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;17.07.2022 00:00;22.08.2022 00:00;KUECHE
0040094469;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;08.07.2022 00:00;15.08.2022 00:00;KUECHE
0040094469;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Ningbo;08.07.2022 00:00;15.08.2022 00:00;KUECHE
0040094472;244001;Moradabad;IN;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Mumbai;09.06.2022 00:00;25.07.2022 00:00;TISCH
0040094478;51030;Serravalle Pistoiese;IT;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;03.07.2022 00:00;08.08.2022 00:00;KUECHE
0040094478;51030;Serravalle Pistoiese;IT;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;03.07.2022 00:00;08.08.2022 00:00;KUECHE
0040094478;51030;Serravalle Pistoiese;IT;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;03.07.2022 00:00;08.08.2022 00:00;KUECHE
0040094480;76000;Karachi;PK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Karachi;24.04.2022 00:00;24.06.2022 00:00;SCHLAFTEXTILIEN
0040094482;;Hong Kong;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;04.06.2022 00:00;10.07.2022 00:00;SPIELWAREN
0040094482;;Hong Kong;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;04.06.2022 00:00;10.07.2022 00:00;SPIELWAREN
0040094482;;Hong Kong;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;04.06.2022 00:00;10.07.2022 00:00;SPIELWAREN
0040096467;132103;Panipat;IN;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Nhava Sheva;24.11.2022 00:00;09.01.2023 00:00;KUECHE
0040094482;;Hong Kong;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;04.06.2022 00:00;10.07.2022 00:00;SPIELWAREN
0040094483;999077;Hung Hom, Kowloon;HK;Migros Verteilbetrieb AG;4623;NEUENDORF;CH;FOB;Yantian Pt;22.07.2022 00:00;21.09.2022 00:00;TISCH
